time,connect,request 
0,0.557861328125,5001.56689453125 
10,0.548095703125,5000.923828125 
20,0.548095703125,5000.923828125 
30,0.548095703125,5000.923828125 
40,0.548095703125,5000.923828125 
50,0.548095703125,5000.923828125 
60,0.548095703125,5000.923828125 
70,0.548095703125,5000.8740234375 
80,0.548095703125,5000.8740234375 
90,0.548095703125,5000.8740234375 
100,0.548095703125,5000.8740234375 
110,0.548095703125,5000.8740234375 
120,0.548095703125,5000.8740234375 
130,0.548095703125,5000.8740234375 
140,0.548095703125,5000.8740234375 
150,0.548095703125,5000.8740234375 
160,0.548095703125,5000.8740234375 
170,0.548095703125,5000.8740234375 
180,0.548095703125,5000.8740234375 
190,0.548095703125,5000.8740234375 
200,0.548095703125,5000.8740234375 
210,0.548095703125,5000.8740234375 
220,0.548095703125,5000.8740234375 
230,0.548095703125,5000.8740234375 
240,0.548095703125,5000.8740234375 
250,0.548095703125,5000.8740234375 
260,0.548095703125,5000.8740234375 
270,0.548095703125,5000.8740234375 
280,0.548095703125,5000.8740234375 
290,0.548095703125,5000.8740234375 
300,0.548095703125,5000.8740234375 
309,0.548095703125,5000.8740234375 
