time,connected,users 
0,9980,10621 
10,19998,19998 
20,19996,19996 
30,19996,19996 
40,19996,19996 
50,19996,19996 
60,19996,19996 
70,19996,19996 
80,19996,19996 
90,19996,19996 
100,19996,19996 
110,19996,19996 
120,19996,19996 
130,19996,19996 
140,19996,19996 
150,19996,19996 
160,19996,19996 
170,19996,19996 
180,19996,19996 
190,19996,19996 
200,19996,19996 
210,19996,19996 
220,19996,19996 
230,19996,19996 
240,19996,19996 
250,10597,10043 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
300,0,0 
309,0,0 
