time,load@tsung_controller@ip-172-31-23-133,load@localhost 
0,0.0, 
10,0.0,0.0 
20,0.0703125,0.0703125 
30,0.21875,0.21875 
40,0.26953125,0.26953125 
50,0.23046875,0.23046875 
60,0.5703125,0.5703125 
70,0.71875,0.71875 
80,0.69140625,0.69140625 
90,0.578125,0.578125 
100,0.48828125,0.48828125 
110,0.640625,0.640625 
120,0.9296875,0.9296875 
130,1.078125,1.078125 
140,1.140625,1.140625 
150,1.12109375,1.12109375 
160,0.94140625,0.94140625 
170,0.80078125,0.80078125 
180,1.140625,1.140625 
190,1.28125,1.28125 
200,1.078125,1.078125 
210,1.05859375,1.05859375 
220,1.21875,1.21875 
230,1.33984375,1.33984375 
240,1.66015625,1.66015625 
250,1.7109375,1.7109375 
260,1.44921875,1.44921875 
270,1.23046875,1.23046875 
280,1.0390625,1.0390625 
290,0.87890625,0.87890625 
300,0.73828125,0.73828125 
309,0.62890625,0.62890625 
