time,sentpackets@localhost,sentpackets@tsung_controller@ip-172-31-23-133 
20,67932,70044 
30,67932,70044 
40,67932,70044 
50,67932,70044 
60,67932,70044 
70,67932,70044 
80,67932,70044 
90,67932,70044 
100,67932,70044 
110,67932,70044 
120,67932,70044 
130,67932,70044 
140,67932,70044 
150,67932,70044 
160,67932,70044 
170,67932,70044 
180,67932,70044 
190,67932,70044 
200,67932,70044 
210,67932,70044 
220,67932,70044 
230,67932,70044 
240,67932,70044 
250,67932,70044 
260,67932,70044 
270,67932,70044 
280,67932,70044 
290,67932,70044 
300,67932,70044 
309,67932,70044 
